Thread ID: 2148303280
Total: 0.031087

 %self     total     self     wait    child    calls  name
  0.16      0.00     0.00     0.00     0.00       10  FlexGen::ModelBuilder::ReferenceResolver#setElementName (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/reference_resolver.rb:32}
  0.16      0.00     0.00     0.00     0.00        2  ASMetaModel::Actor::ClassModule#addAttributes ((eval):2}
  0.15      0.03     0.00     0.00     0.03        1  <Module::FlexGen::ModelBuilder>#build (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder.rb:15}
  0.14      0.00     0.00     0.00     0.00       10  String#downcase (ruby_runtime:0}
  0.14      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EClass::ClassModule#eAllAttributes(d2) ((eval):2}
  0.14      0.00     0.00     0.00     0.00        1  ASMetaModel::ModelView::ClassModule#form= ((eval):2}
  0.13      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EClass::ClassModule#eAllReferences(d2) ((eval):2}
  0.12      0.00     0.00     0.00     0.00        1  FlexGen::ModelBuilder::BuilderContext::ExtensionContainerFactory#moduleForPackage (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:114}
  0.12      0.00     0.00     0.00     0.00       10  FlexGen::ECore::EClassifier::ClassModule#instanceClassName ((eval):2}
  0.12      0.00     0.00     0.00     0.00        9  Kernel#send(d1) (ruby_runtime:0}
  0.12      0.00     0.00     0.00     0.00        1  ASMetaModel::Form::ClassModule#addButtons ((eval):2}
  0.11      0.00     0.00     0.00     0.00        1  ASMetaModel::App::ClassModule#addSignals ((eval):2}
  0.11      0.00     0.00     0.00     0.00        2  ASMetaModel::Attribute::ClassModule#view_type= ((eval):2}
  0.11      0.00     0.00     0.00     0.00        1  ASMetaModel::View::ClassModule#addModel_views ((eval):2}
  0.10      0.00     0.00     0.00     0.00        1  ASMetaModel::App::ClassModule#addCommands ((eval):2}
  0.10      0.00     0.00     0.00     0.00        1  ASMetaModel::App::ClassModule#view= ((eval):2}
  0.09      0.00     0.00     0.00     0.00       11  <Class::Object>#allocate (ruby_runtime:0}
  0.09      0.03     0.00     0.00     0.03        1  Kernel#instance_eval(d1) (ruby_runtime:0}
  0.09      0.01     0.00     0.00     0.01        2  Kernel#instance_eval(d2) (ruby_runtime:0}
  0.08      0.00     0.00     0.00     0.00        3  Array#eql? (ruby_runtime:0}
  0.08      0.00     0.00     0.00     0.00        1  ASMetaModel::App::ClassModule#addModels ((eval):2}
  0.08      0.00     0.00     0.00     0.00       12  Array#push (ruby_runtime:0}
  0.08      0.00     0.00     0.00     0.00        4  <Class::FlexGen::ModelBuilder::ReferenceResolver::ResolverJob>#new (ruby_runtime:0}
  0.07      0.00     0.00     0.00     0.00        4  FlexGen::ModelBuilder::ReferenceResolver::ResolverJob#receiver= (ruby_runtime:0}
  0.07      0.00     0.00     0.00     0.00        4  FlexGen::ModelBuilder::ReferenceResolver#addJob (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/reference_resolver.rb:28}
  0.07      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EClass::ClassModule#eAllReferences_derived(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:154}
  0.07      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EClass::ClassModule#eAllAttributes_derived(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:148}
  0.06      0.00     0.00     0.00     0.00        1  ASMetaModel::Triggerable::ClassModule#triggers= ((eval):27}
  0.06      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EPackage::ClassModule#qualifiedName (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore_ext.rb:21}
  0.06      0.00     0.00     0.00     0.00        1  ASMetaModel::App::ClassModule#base= ((eval):2}
  0.05      0.00     0.00     0.00     0.00        9  Fixnum#> (ruby_runtime:0}
  0.05      0.00     0.00     0.00     0.00        4  <Class::FlexGen::ModelBuilder::ReferenceResolver::ResolverJob>#allocate (ruby_runtime:0}
  0.05      0.00     0.00     0.00     0.00        1  String#sub (ruby_runtime:0}
  0.05      0.00     0.00     0.00     0.00        1  Kernel#instance_eval(d4) (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00        4  Struct#initialize (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00        3  Hash#delete (ruby_runtime:0}
  0.04      0.03     0.00     0.00     0.03        1  Kernel#instance_eval (ruby_runtime:0}
  0.04      0.01     0.00     0.00     0.01        1  Kernel#instance_eval(d3) (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00        1  ASMetaModel::Button::ClassModule#_registerForm ((eval):16}
  0.04      0.00     0.00     0.00     0.00        5  Array#pop (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00        6  Kernel#eql? (ruby_runtime:0}
  0.04      0.00     0.00     0.00     0.00        2  NilClass#nil? (ruby_runtime:0}
  0.03      0.00     0.00     0.00     0.00        1  String#index (ruby_runtime:0}
  0.03      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EPackage::ClassModule#eSuperPackage ((eval):2}
  0.03      0.00     0.00     0.00     0.00        4  FlexGen::ModelBuilder::ReferenceResolver::ResolverJob#namespace= (ruby_runtime:0}
  0.02      0.00     0.00     0.00     0.00        2  ASMetaModel::Attribute::ClassModule#_registerActor ((eval):16}
  0.02      0.00     0.00     0.00     0.00        1  ASMetaModel::Triggerable::ClassModule#getTriggers ((eval):2}
  0.02      0.00     0.00     0.00     0.00        1  String#split (ruby_runtime:0}
  0.02      0.00     0.00     0.00     0.00        1  ASMetaModel::Cmd::ClassModule#_registerApp ((eval):16}
  0.02      0.00     0.00     0.00     0.00        1  ASMetaModel::Form::ClassModule#_registerModel ((eval):16}
  0.02      0.00     0.00     0.00     0.00        1  ASMetaModel::ModelView::ClassModule#_registerApp ((eval):16}
  0.01      0.00     0.00     0.00     0.00        1  ASMetaModel::Actor::ClassModule#_registerApp ((eval):16}
  0.01      0.00     0.00     0.00     0.00        1  ASMetaModel::View::ClassModule#_registerApp ((eval):16}
  0.01      0.00     0.00     0.00     0.00        1  ASMetaModel::Sig::ClassModule#_registerApp ((eval):16}
  0.01      0.00     0.00     0.00     0.00        1  FlexGen::ModelBuilder::BuilderContext::ExtensionContainerFactory::ExtensionContainer#initialize (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:101}
  0.01      0.00     0.00     0.00     0.00        1  Array#delete (ruby_runtime:0}


