Thread ID: 2148303280
Total: 0.067370

 %self     total     self     wait    child    calls  name
  0.19      0.00     0.00     0.00     0.00       29  FlexGen::ModelBuilder::ReferenceResolver#setElementName (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/reference_resolver.rb:32}
  0.19      0.00     0.00     0.00     0.00       20  FlexGen::ECore::EPackage::ClassModule#eClassifiers ((eval):2}
  0.18      0.00     0.00     0.00     0.00       40  FlexGen::ECore::ETypedElement::ClassModule#eType ((eval):2}
  0.18      0.00     0.00     0.00     0.00       48  String#upcase (ruby_runtime:0}
  0.17      0.01     0.00     0.00     0.01       33  Kernel#send(d1) (ruby_runtime:0}
  0.17      0.04     0.00     0.00     0.04        5  Kernel#instance_eval(d2) (ruby_runtime:0}
  0.17      0.00     0.00     0.00     0.00        6  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes(d4) ((eval):2}
  0.16      0.00     0.00     0.00     0.00        6  FlexGen::ECore::EClass::ClassModule#eAllReferences(d2) ((eval):2}
  0.16      0.01     0.00     0.00     0.01       10  FlexGen::ECore::EClass::ClassModule#eAllReferences_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:154}
  0.15      0.00     0.00     0.00     0.00       48  String#+ (ruby_runtime:0}
  0.15      0.00     0.00     0.00     0.00       10  FlexGen::ECore::EClass::ClassModule#eAllReferences_derived(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:154}
  0.15      0.00     0.00     0.00     0.00       10  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes_derived(d3) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:160}
  0.14      0.00     0.00     0.00     0.00        4  ASMetaModel::Actor::ClassModule#addAttributes ((eval):2}
  0.14      0.07     0.00     0.00     0.07        1  FlexGen::ModelBuilder::BuilderContext#method_missing (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  0.13      0.00     0.00     0.00     0.00       29  FlexGen::ECore::EClassifier::ClassModule#instanceClassName ((eval):2}
  0.13      0.00     0.00     0.00     0.00       29  String#downcase (ruby_runtime:0}
  0.13      0.00     0.00     0.00     0.00        8  FlexGen::ECore::EClass::ClassModule#eAllAttributes_derived(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:148}
  0.12      0.00     0.00     0.00     0.00        8  FlexGen::ECore::EClass::ClassModule#eAllAttributes_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:148}
  0.12      0.00     0.00     0.00     0.00       10  Kernel#puts (ruby_runtime:0}
  0.12      0.00     0.00     0.00     0.00       20  Enumerable#find (ruby_runtime:0}
  0.11      0.00     0.00     0.00     0.00        4  ASMetaModel::Triggerable::ClassModule#triggers= ((eval):27}
  0.11      0.00     0.00     0.00     0.00        4  FlexGen::ECore::EClass::ClassModule#eAllAttributes(d2) ((eval):2}
  0.10      0.00     0.00     0.00     0.00        4  ASMetaModel::Attribute::ClassModule#view_type= ((eval):2}
  0.10      0.00     0.00     0.00     0.00       13  <Class::FlexGen::ModelBuilder::ReferenceResolver::ResolverJob>#new (ruby_runtime:0}
  0.10      0.00     0.00     0.00     0.00       36  Array#push (ruby_runtime:0}
  0.10      0.00     0.00     0.00     0.00        6  FlexGen::ECore::EClass::ClassModule#eAllReferences_derived(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:154}
  0.09      0.00     0.00     0.00     0.00        3  FlexGen::ECore::EClass::ClassModule#eAllReferences(d3) ((eval):2}
  0.08      0.00     0.00     0.00     0.00        6  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes_derived(d4) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:160}
  0.08      0.00     0.00     0.00     0.00        2  ASMetaModel::App::ClassModule#addViews ((eval):2}
  0.08      0.00     0.00     0.00     0.00        2  ASMetaModel::App::ClassModule#addModels ((eval):2}
  0.08      0.00     0.00     0.00     0.00       13  FlexGen::ModelBuilder::ReferenceResolver#addJob (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/reference_resolver.rb:28}
  0.08      0.00     0.00     0.00     0.00       26  Array#each(d4) (ruby_runtime:0}
  0.08      0.00     0.00     0.00     0.00        2  ASMetaModel::App::ClassModule#addCommands ((eval):2}
  0.08      0.00     0.00     0.00     0.00       14  Kernel#send(d2) (ruby_runtime:0}
  0.07      0.00     0.00     0.00     0.00        2  ASMetaModel::Form::ClassModule#addButtons ((eval):2}
  0.07      0.00     0.00     0.00     0.00       30  <Class::Object>#allocate (ruby_runtime:0}
  0.07      0.00     0.00     0.00     0.00        2  ASMetaModel::View::ClassModule#addForms ((eval):2}
  0.07      0.00     0.00     0.00     0.00       28  Fixnum#> (ruby_runtime:0}
  0.07      0.00     0.00     0.00     0.00        2  ASMetaModel::View::ClassModule#addSignals ((eval):2}
  0.06      0.00     0.00     0.00     0.00        2  ASMetaModel::Triggerable::ClassModule#watchers= ((eval):27}
  0.06      0.07     0.00     0.00     0.07        1  <Module::FlexGen::ModelBuilder>#build (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder.rb:15}
  0.06      0.06     0.00     0.00     0.06        1  Kernel#instance_eval(d1) (ruby_runtime:0}
  0.06      0.00     0.00     0.00     0.00        4  FlexGen::ECore::EClass::ClassModule#eAllAttributes_derived(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:148}
  0.06      0.00     0.00     0.00     0.00        2  FlexGen::ECore::EClass::ClassModule#eAllReferences(d4) ((eval):2}
  0.06      0.00     0.00     0.00     0.00       13  Array#delete (ruby_runtime:0}
  0.05      0.00     0.00     0.00     0.00       11  ASMetaModel::Sig::ClassModule#_registerContext ((eval):16}
